Authors,Title,Reviewer1,Reviewer2,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Chen L.-P.; Shih Y.-L.; Chen C.-T.; Ku T.; Hsieh W.-T.; Chiu H.-S.; Yang R.-D.,English-to-traditional Chinese cross-lingual link discovery in articles with wikipedia corpus,-1,,-1,#excluded #outofscope,2012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883015565&partnerID=40&md5=6e2872c73a5d9b1703f494652aa89227,"In this paper, we design a processing flow to produce linked data in articles, providing anchor-based term's additional information and related terms in different languages (English to Chinese). Wikipedia has been a very important corpus and knowledge bank. Although Wikipedia describes itself not a dictionary or encyclopedia, it is if high potential values in applications and data mining researches. Link discovery is a useful IR application, based on Data Mining and NLP algorithms and has been used in several fields. According to the results of our experiment, this method does make the result has improved.",Final,,
Sorrentino S.; Bergamaschi S.; Fusari E.,A semantic multi-lingual method for publishing linked open data,-1,,-1,#excluded #notavailable,2013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903553546&partnerID=40&md5=abbae146690bd2b9d5468aadddfcaf98,"Nowadays, there has been an increment of open data initiatives promoting the freely publication of data produced by public administrations (such as public spending, health care, education etc.). However, the great majority of these data are published in an unstructured format (such as spreadsheets or CSV) and is typically accessed only by closed communities. To address this problem, we propose a semiautomatic multi-lingual and semantic method for facilitating resource providers in publishing public data into the Linked Open Data (LOD) cloud, and for helping consumers (companies and citizens) in efficiently accessing and querying them. The method has been applied on a real case on a set of data provided in Italian.",Final,,
Buchmann R.A.; Karagiannis D.,Modelling mobile app requirements for semantic traceability,-1,,-1,#excluded #outofscope,2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937826800&doi=10.1007%2fs00766-015-0235-1&partnerID=40&md5=9cde5f230420f803d22d454e1dd911e8,"The paper presents a modelling method aimed to support the definition and elicitation of requirements for mobile apps through an approach that enables semantic traceability for the requirements representation. Business process-centricity is employed in order to capture requirements in a knowledge structure that retains procedural knowledge from stakeholders and can be traversed by semantic queries in order to trace domain-specific contextual information for the modelled requirements. Consequently, instead of having requirements represented as natural language items that are documented by diagrammatic models, the communication channels are switched: semantically interlinked conceptual models become the requirements representation, while free text can be used for requirements annotations/metadata. Thus, the method establishes a knowledge externalization channel between business stakeholders and app developers, also tackling the Twin Peaks bridging challenge (between requirements and early designs). The method is presented using its modelling procedure as a guiding thread, with each step illustrated by case-based samples of the modelling language and auxiliary functionality. The design work is encompassed by an existing metamodelling framework and introduces a taxonomy for modelling relations, since the metamodel is the key enabler for the goal of semantic traceability. The research was driven by the ComVantage EU research project, concerned with mobile app support for collaborative business process execution. Therefore, the project provides context for the illustrating examples; however, generalization possibilities beyond the project scope will also be discussed, with respect to both motivation and outcome. © 2015, Springer-Verlag London.",Final,,
Markowitz E.; Balasubramanian K.; Mirtaheri M.; Annavaram M.; Galstyan A.; Steeg G.V.,StATIK: Structure and Text for Inductive Knowledge Graph Completion,-1,,-1,#excluded #outofscope #kgcompletion not linguistic features,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137336754&partnerID=40&md5=dcd256325a283a1ebc2179470216ec6a,"Knowledge graphs (KGs) often represent knowledge bases that are incomplete. Machine learning models can alleviate this by helping automate graph completion. Recently, there has been growing interest in completing knowledge bases that are dynamic, where previously unseen entities may be added to the KG with many missing links. In this paper, we present StATIK-Structure And Text for Inductive Knowledge Completion. StATIK uses Language Models to extract the semantic information from text descriptions, while using Message Passing Neural Networks to capture the structural information. StATIK achieves state of the art results on three challenging inductive baselines. We further analyze our hybrid model through detailed ablation studies. © Findings of the Association for Computational Linguistics: NAACL 2022 - Findings.",Final,,
Zhao Y.; Cai X.; Wu Y.; Zhang H.; Zhang Y.; Zhao G.; Jiang N.,MoSE: Modality Split and Ensemble for Multimodal Knowledge Graph Completion,-1,,-1,#excluded #outofscope #kgcompletion not linguistic features,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149441752&partnerID=40&md5=d8b426357d0ebabc4b4a88ab9dbda59d,"Multimodal knowledge graph completion (MKGC) aims to predict missing entities in MKGs. Previous works usually share relation representation across modalities. This results in mutual interference between modalities during training, since for a pair of entities, the relation from one modality probably contradicts that from another modality. Furthermore, making a unified prediction based on the shared relation representation treats the input in different modalities equally, while their importance to the MKGC task should be different. In this paper, we propose MoSE, a Modality Split representation learning and Ensemble inference framework for MKGC. Specifically, in the training phase, we learn modality-split relation embeddings for each modality instead of a single modality-shared one, which alleviates the modality interference. Based on these embeddings, in the inference phase, we first make modality-split predictions and then exploit various ensemble methods to combine the predictions with different weights, which models the modality importance dynamically. Experimental results on three KG datasets show that MoSE outperforms state-of-the-art MKGC methods. Codes are available at https://github.com/OreOZhao/MoSE4MKGC. © 2022 Association for Computational Linguistics.",Final,,
Ge T.; Wang Y.; De Melo G.; Li H.; Chen B.,Visualizing and curating knowledge graphs over time and space,-1,,-1,#excluded not linguistic features,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016486947&doi=10.18653%2fv1%2fp16-4005&partnerID=40&md5=3dd121ce08e7cc4d531c210d79fe08b2,"Publicly available knowledge repositories, such as Wikipedia and Freebase, benefit significantly from volunteers, whose contributions ensure that the knowledge keeps expanding and is kept up-to-date and accurate. User interactions are often limited to hypertext, tabular, or graph visualization interfaces. For spatio-temporal information, however, other interaction paradigms may be better-suited. We present an integrated system that combines crowdsourcing, automatic or semi-automatic knowledge harvesting from text, and visual analytics. It enables users to analyze large quantities of structured data and unstructured textual data from a spatio-temporal perspective and gain deep insights that are not easily observed in individual facts. © 2016 Association for Computational Linguistics.",Final,All Open Access; Hybrid Gold Open Access,
Vaisman A.,Publishing OLAP cubes on the semantic web,-1,,-1,#notavailable #excluded,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978761828&doi=10.1007%2f978-3-319-39243-1_2&partnerID=40&md5=42e4e5d9ac8a2fdf6954962636b65709,"The availability of large repositories of semantically annotated data on the web is opening new opportunities for enhancing Decision-Support Systems. In addition, the advent of initiatives such as Open Data and Open Government, together with the Linked Open Data paradigm, are promoting publication and sharing of multidimensional data (MD) on the web. In this paper we address the problem of representing MD data using Semantic Web (SW) standards. We discuss how MD data can be represented and queried directly over the SW, without the need to download data sets into local data warehouses. We first comment on the RDF Data Cube Vocabulary (QB), the current W3C recommendation, and show that it is not enough to appropriately represent and query MD data on the web. In order to be able to support useful Online Analytical Process (OLAP) analysis, extension to QB, denoted QB4OLAP, has been proposed. We provide an in-depth comparison between these two proposals, and show that extending QB with QB4OLAP can be done without re-writing the observations, (the largest part of a QB data set). We provide extensive examples of the QB4OLAP representation, using a portion of the Eurostat data set and the wellknown Northwind database. Finally, we present a high-level query language, called QL, that allows OLAP users not familiar with SW concepts or languages, to write and execute OLAP operators without any knowledge of RDF or SPARQL, the standard data model and query language, respectively, for the SW. QL queries are automatically translated into SPARQL (using the QB4OLAP metadata) and executed over an endpoint. © Springer International Publishing Switzerland 2016.",Final,,
Lee J.; Chung C.; Lee H.; Jo S.; Whang J.J.,VISTA: Visual-Textual Knowledge Graph Representation Learning,-1,,-1,#excluded #outofscope,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183298983&partnerID=40&md5=dba38781f8c9640990b6a0cbaf387666,"Knowledge graphs represent human knowledge using triplets composed of entities and relations. While most existing knowledge graph embedding methods only consider the structure of a knowledge graph, a few recently proposed multimodal methods utilize images or text descriptions of entities in a knowledge graph. In this paper, we propose visual-textual knowledge graphs (VTKGs), where not only entities but also triplets can be explained using images, and both entities and relations can accompany text descriptions. By compiling visually expressible commonsense knowledge, we construct new benchmark datasets where triplets themselves are explained by images, and the meanings of entities and relations are described using text. We propose VISTA, a knowledge graph representation learning method for VTKGs, which incorporates the visual and textual representations of entities and relations using entity encoding, relation encoding, and triplet decoding transformers. Experiments show that VISTA outperforms state-of-the-art knowledge graph completion methods in real-world VTKGs. © 2023 Association for Computational Linguistics.",Final,,
Mihindukulasooriya N.; Dash S.; Bagchi S.; Chowdhury F.; Gliozzo A.; Farkash A.; Glass M.; Gokhman I.; Hassanzadeh O.; Pham N.; Rossiello G.; Rozenberg B.; Sagron Y.; Subramanian D.; Takahashi T.; Tateishi T.; Vu L.,Unleashing the Potential of Data Lakes with Semantic Enrichment Using Foundation Models,-1,,-1,#excluded #outofscope,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184379489&partnerID=40&md5=3575ea110a78ffde7449db418c24400b,"Nowadays most organizations are managing data lakes containing heterogeneous data from various sources. However, the lack of adequate metadata often transforms these data lakes into data swamps, making it challenging to locate relevant data for critical organizational tasks and consequently limiting their utility. Recent advancements in large language models and foundation models have enabled the automation of metadata generation using generative AI models and the use of generated metadata for mapping tabular data into semantically richer glossaries, taxonomies, or ontologies. In this talk, we will present a semantic enrichment process that generates table metadata such as descriptive table captions, tags, expanded column names, and column descriptions and then uses that information to map table columns to concepts in a given business glossary or an ontology. Furthermore, during this process, we represent both table metadata and business glossaries as knowledge graphs and connect them by mapping columns to business concepts. As a result, the enrichment process makes the data in data lakes more meaningful to the organization and enhances downstream tasks, including improved table search and discovery, efficient table joins, and advanced business analytics. © 2023 Copyright for this paper by its authors.",Final,,
Su Y.; Han X.; Zhang Z.; Lin Y.; Li P.; Liu Z.; Zhou J.; Sun M.,CokeBERT: Contextual knowledge selection and embedding towards enhanced pre-trained language models,-1,,-1,#excluded,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115923209&doi=10.1016%2fj.aiopen.2021.06.004&partnerID=40&md5=ed03d32aeb98fe97751bf6a6ad2a6cf0,"Several recent efforts have been devoted to enhancing pre-trained language models (PLMs) by utilizing extra heterogeneous knowledge in knowledge graphs (KGs), and achieved consistent improvements on various knowledge-driven NLP tasks. However, most of these knowledge-enhanced PLMs embed static sub-graphs of KGs (“knowledge context”), regardless of that the knowledge required by PLMs may change dynamically according to specific text (“textual context”). In this paper, we propose a novel framework named Coke to dynamically select contextual knowledge and embed knowledge context according to textual context for PLMs, which can avoid the effect of redundant and ambiguous knowledge in KGs that cannot match the input text. Our experimental results show that Coke outperforms various baselines on typical knowledge-driven NLP tasks, indicating the effectiveness of utilizing dynamic knowledge context for language understanding. Besides the performance improvements, the dynamically selected knowledge in Coke can describe the semantics of text-related knowledge in a more interpretable form than the conventional PLMs. Our implementation and datasets are publicly available. © 2021 The Authors",Final,All Open Access; Gold Open Access; Green Open Access,
