Authors,Title,Pasquale,Mary,Overall,Motivation,Year,Link,Abstract,Publication Stage,Open Access,Manually added
Chen Y.-H.; Lu E.J.-L.; Lin S.-C.,Ontology-based Dynamic Semantic Annotation for Social Image Retrieval,0,0,0,#use #annotation automatic semantic image annotation model for social image retrieval,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090381498&doi=10.1109%2fMDM48529.2020.00074&partnerID=40&md5=0f913291ac5297a8ef08dcb0c1851b52,"To mitigate the semantic gap between a visual feature and linguistic representation in social image retrieval, researchers have proposed an automatic image annotation approach, which employs multiple visual features and text matching to label images. This paper used a linked open data approach and ontology to construct a model, an automatic semantic image annotation model for social image retrieval. These models enable users to label images through automatic semantic annotation and to identify the underlying intents of semantics, thereby fulfilling user needs and enhancing the retrieval accuracy. © 2020 IEEE.",Final,,
Bourgonje P.; Moreno-Schneider J.; Nehring J.; Rehm G.; Sasaki F.; Srivastava A.,Towards a platform for curation technologies: Enriching text collections with a semantic-web layer,1,1,1,#use,2016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994527341&doi=10.1007%2f978-3-319-47602-5_14&partnerID=40&md5=bd87b516c5ba0f26a86c73d8b6c06189,"In an attempt to put a Semantic Web-layer that provides linguistic analysis and discourse information on top of digital content, we develop a platform for digital curation technologies. The platform offers language-, knowledge-and data-aware services as a flexible set of workflows and pipelines for the efficient processing of various types of digital content. The platform is intended to enable human experts (knowledge workers) to get a grasp and understand the contents of large document collections in an efficient way so that they can curate, process and further analyse the collection according to their sector-specific needs. © Springer International Publishing AG 2016.",Final,,
Xing C.; Liu X.; Du D.; Hu W.; Zhang M.,Relation extraction using language model based on knowledge graph,-1,-1,-1,#use,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096414931&doi=10.1088%2f1742-6596%2f1624%2f2%2f022037&partnerID=40&md5=8dabd909fb79c05a8f685bdafcfba007,"Relation extraction is an important task in natural language processing (NLP). The existing methods generally pay more attention on extracting textual semantic information from text, but ignore the relation contextual information from existed relations in datasets, which is very important for the performance of relation extraction task. In this paper, we represent each individual entity as a embedding based on entities and relations knowledge graph, which encodes the relation contextual information between the given entity pairs and relations. Besides, inspired by the impressive performance of language models recently, we used the language model to leverage word semantic information, in which word semantic information can be better captured than word embedding. The experimental results on SemEval2010 Task 8 dataset showed that the F1-score of our proposed method improved nearly 3% compared with the previous methods. © 2020 Institute of Physics Publishing. All rights reserved.",Final,All Open Access; Bronze Open Access,
Kumar S.; Ramaneswaran S.; Akhtar M.S.; Chakraborty T.,From Multilingual Complexity to Emotional Clarity: Leveraging Commonsense to Unveil Emotions in Code-Mixed Dialogues,1,1,1,#use #commonsensekg,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184822341&partnerID=40&md5=14584b69691f8ab92b34cc16279846d8,"Understanding emotions during conversation is a fundamental aspect of human communication, driving NLP research for Emotion Recognition in Conversation (ERC). While considerable research has focused on discerning emotions of individual speakers in monolingual dialogues, understanding the emotional dynamics in code-mixed conversations has received relatively less attention. This motivates our undertaking of ERC for code-mixed conversations in this study. Recognizing that emotional intelligence encompasses a comprehension of worldly knowledge, we propose an innovative approach that integrates commonsense information with dialogue context to facilitate a deeper understanding of emotions. To achieve this, we devise an efficient pipeline that extracts relevant commonsense from existing knowledge graphs based on the code-mixed input. Subsequently, we develop an advanced fusion technique that seamlessly combines the acquired commonsense information with the dialogue representation obtained from a dedicated dialogue understanding module. Our comprehensive experimentation showcases the substantial performance improvement obtained through the systematic incorporation of commonsense in ERC. Both quantitative assessments and qualitative analyses further corroborate the validity of our hypothesis, reaffirming the pivotal role of commonsense integration in enhancing ERC. © 2023 Association for Computational Linguistics.",Final,,
Zhao Y.; Zhang J.; Zhou Y.; Zong C.,Knowledge graphs enhanced neural machine translation,1,1,1,#use #translation,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097342403&partnerID=40&md5=0ae6d87f08dd49ee81d8742071255ca0,"Knowledge graphs (KGs) store much structured information on various entities, many of which are not covered by the parallel sentence pairs of neural machine translation (NMT). To improve the translation quality of these entities, in this paper we propose a novel KGs enhanced NMT method. Specifically, we first induce the new translation results of these entities by transforming the source and target KGs into a unified semantic space. We then generate adequate pseudo parallel sentence pairs that contain these induced entity pairs. Finally, NMT model is jointly trained by the original and pseudo sentence pairs. The extensive experiments on Chinese-to-English and English-to-Japanese translation tasks demonstrate that our method significantly outperforms the strong baseline models in translation quality, especially in handling the induced entities. © 2020 Inst. Sci. inf., Univ. Defence in Belgrade. All rights reserved.",Final,,
Chen X.; Chen M.; Fan C.; Uppunda A.; Sun Y.; Zaniolo C.,Multilingual knowledge graph completion via ensemble knowledge transfer,1,1,1,#use #kgcompletion,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098414071&partnerID=40&md5=16c05b1bd715d103286c9b4c277dc12a,"Predicting missing facts in a knowledge graph (KG) is a crucial task in knowledge base construction and reasoning; and it has been the subject of much research in recent works using KG embeddings. While existing KG embedding approaches mainly learn and predict facts within a single KG, a more plausible solution would benefit from the knowledge in multiple language-specific KGs, considering that different KGs have their own strengths and limitations on data quality and coverage. This is quite challenging, since the transfer of knowledge among multiple independently maintained KGs is often hindered by the insufficiency of alignment information and the inconsistency of described facts. In this paper, we propose KEnS, a novel framework for embedding learning and ensemble knowledge transfer across a number of language-specific KGs. KEnS embeds all KGs in a shared embedding space, where the association of entities is captured based on self-learning. Then, KEnS performs ensemble inference to combine prediction results from embeddings of multiple language-specific KGs, for which multiple ensemble techniques are investigated. Experiments on five real-world language-specific KGs show that KEnS consistently improves state-of-the-art methods on KG completion, via effectively identifying and leveraging complementary knowledge. © 2020 Association for Computational Linguistics",Final,,
Tan Y.; Zhang X.; Chen Y.; Ali Z.; Hua Y.; Qi G.,CLRN: A reasoning network for multi-relation question answering over Cross-lingual Knowledge Graphs,1,1,1,#use #cross-lingualkgs #questionanswering,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162144389&doi=10.1016%2fj.eswa.2023.120721&partnerID=40&md5=725cd1d23f8e203ad0f1238fbe3f76a0,"Cross-lingual Knowledge Graphs-based Question Answering (CLKGQA) requires the question answering (QA) system to combine the knowledge graphs (KGs) in different languages to obtain answers to input questions. In previous works, the common idea is to merge Cross-lingual Knowledge Graphs (CLKGs) into a single KG through aligned entity pairs and then treat it as a traditional KG-based QA. However, as demonstrated by Tan et al. (2023), existing Entity Alignment (EA) models cannot generate highly accurate aligned entity pairs for CLKGs. Therefore, two issues need to be addressed in the CLKGQA task: (1) Remove the dependency of the QA model on the fused KG; (2) Improve the performance of the EA model in obtaining aligned entity pairs from locally isomorphic CLKGs. To solve the above two issues, this paper presents Cross-lingual Reasoning Network (CLRN), a novel multi-hop QA model that allows switching knowledge graphs at any stage of the multi-hop reasoning. Furthermore, we establish an iterative framework that combines CLRN and EA model, in which CLRN is used for extracting potential alignment triple pairs from CLKGs during the QA process. The extracted triple pairs provide pseudo-aligned entities, and the additional aligned entity pairs are used to mine missing relations between entities in CLKGs. These pseudo-aligned entity pairs and relations improve the performance of the EA model, resulting in higher accuracy in QA. Extensive experiments demonstrate the effectiveness of the proposed model, which outperforms the baseline approaches. Through iterative enhancement, the performance of the EA model has also been improved by > 1.0 % in Hit@1 and Hit@10, and the improvement is statistically significant in the confidence interval of p<0.01. Moreover, our work discusses the correlation between QA and EA from the side of QA, which has reference value for the follow-up exploration of related communities. We have open-sourced our dataset and code, which is available at the URL https://github.com/tan92hl/Cross-lingual-Reasoning-Network-for-CLKGQA. © 2023 Elsevier Ltd",Final,,
Goel S.; Gracia J.; Forcada M.L.,Bilingual dictionary generation and enrichment via graph exploration,1,1,1,#kg apertium #use #synonyms,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140834359&doi=10.3233%2fSW-222899&partnerID=40&md5=dacaa9f99e46d8a0814518971cac32c2,"In recent years, we have witnessed a steady growth of linguistic information represented and exposed as linked data on the Web. Such linguistic linked data have stimulated the development and use of openly available linguistic knowledge graphs, as is the case with the Apertium RDF, a collection of interconnected bilingual dictionaries represented and accessible through Semantic Web standards. In this work, we explore techniques that exploit the graph nature of bilingual dictionaries to automatically infer new links (translations). We build upon a cycle density based method: partitioning the graph into biconnected components for a speed-up, and simplifying the pipeline through a careful structural analysis that reduces hyperparameter tuning requirements. We also analyse the shortcomings of traditional evaluation metrics used for translation inference and propose to complement them with new ones, both-word precision (BWP) and both-word recall (BWR), aimed at being more informative of algorithmic improvements. Over twenty-seven language pairs, our algorithm produces dictionaries about 70% the size of existing Apertium RDF dictionaries at a high BWP of 85% from scratch within a minute. Human evaluation shows that 78% of the additional translations generated for dictionary enrichment are correct as well. We further describe an interesting use-case: inferring synonyms within a single language, on which our initial human-based evaluation shows an average accuracy of 84%. We release our tool as free/open-source software which can not only be applied to RDF data and Apertium dictionaries, but is also easily usable for other formats and communities. © 2022 - The authors. Published by IOS Press.",Final,All Open Access; Bronze Open Access; Green Open Access,
Liu L.; Li X.; He R.; Bing L.; Joty S.; Si L.,Enhancing Multilingual Language Model with Massive Multilingual Knowledge Triples,1,1,1,#use,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143087240&partnerID=40&md5=23c56bd34f15c1847bdc19f5bba9c742,"Knowledge-enhanced language representation learning has shown promising results across various knowledge-intensive NLP tasks. However, prior methods are limited in efficient utilization of multilingual knowledge graph (KG) data for language model (LM) pretraining. They often train LMs with KGs in indirect ways, relying on extra entity/relation embeddings to facilitate knowledge injection. In this work, we explore methods to make better use of the multilingual annotation and language agnostic property of KG triples, and present novel knowledge based multilingual language models (KMLMs) trained directly on the knowledge triples. We first generate a large amount of multilingual synthetic sentences using the Wikidata KG triples. Then based on the intra- and inter-sentence structures of the generated data, we design pretraining tasks to enable the LMs to not only memorize the factual knowledge but also learn useful logical patterns. Our pretrained KMLMs demonstrate significant performance improvements on a wide range of knowledge-intensive crosslingual tasks, including named entity recognition (NER), factual knowledge retrieval, relation classification, and a newly designed logical reasoning task. © 2022 Association for Computational Linguistics.",Final,,
Zhou Y.; Geng X.; Shen T.; Zhang W.; Jiang D.,Improving Zero-Shot Cross-lingual Transfer for Multilingual Question Answering over Knowledge Graph,1,1,1,#use #question-anserwing,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113823264&partnerID=40&md5=927041cb034315cb207fa63a6422b3d5,"Multilingual question answering over knowledge graph (KGQA) aims to derive answers from a knowledge graph (KG) for questions in multiple languages. To be widely applicable, we focus on its zero-shot transfer setting. That is, we can only access training data in a high-resource language, while need to answer multilingual questions without any labeled data in target languages. A straightforward approach is resorting to pre-trained multilingual models (e.g., mBERT) for cross-lingual transfer, but there is a still significant gap of KGQA performance between source and target languages. In this paper, we exploit unsupervised bilingual lexicon induction (BLI) to map training questions in source language into those in target language as augmented training data, which circumvents language inconsistency between training and inference. Furthermore, we propose an adversarial learning strategy to alleviate syntax-disorder of the augmented data, making the model incline to both language- and syntax-independence. Consequently, our model narrows the gap in zero-shot cross-lingual transfer. Experiments on two multilingual KGQA datasets with 11 zero-resource languages verify its effectiveness. © 2021 Association for Computational Linguistics.",Final,,
