Resource name,,Ref,Link,LLOD Cloud Link,Category,SPARQL endpoint,SE status,DUMP,DUMP status,License,Amount of Data,Language,Degree of Connection,Clustering Coefficient,Centrality,Verifiability
Apertium,2018,"\cite{goel2022bilingual,gracia2018apertium}",http://linguistic.linkeddata.es/apertium,YES,Lexicons and Dictionaries,http://linguistic.linkeddata.es/sparql,OK,Def. for each lang,OFFLINE,GPL 3.0,circa 10Mln,Pair-wise languages,2,1,0.001,0
Apics-Ligt,2021,\cite{ionov2021apics},https://zenodo.org/records/5155753,,Linguistic Data Category,,,https://zenodo.org/records/5155753 as ttl,OK,CC-BY 4.0,,Multilingual,,,,
Atlante Sintattico Italiano - ASIt,2014,\cite{buccio2014linked},,https://lod-cloud.net/dataset/asit,Linguistic Data Categories,-,-,"http://www.purl.org/ASIt/RDF/asit-schema.rdf, http://www.purl.org/asit/RDF, http://ims.dei.unipd.it/websites/ASIt/RDF/asit-data.rdf",OK,CC-BY-SA,420K,Italian,1,0,0.000,0
BabelNet,2016,\cite{navigli2016babelnet},https://babelnet.org/,https://lod-cloud.net/dataset/babelnet,"Terminology, Thesauri, Knowledge Base",http://babelnet.org/sparql/,OFFLINE,https://babelnet.org/downloads,OFFLINE,CC-BY-NC-SA 3.0,2MLD,Multilingual,38,0.047,0.015,0
BulNet - Bulgarian WordNet,2020,\cite{kancheva2020linguistic},https://dcl.bas.bg/en/products/resources/wordnet/; https://dcl.bas.bg/bulnet ,,Lexicons and Dictionaries,-,-,https://dcl.bas.bg/BulNet/general_en.html,OFFLINE,-,85K synsets,Bulgarian,,,,
Chinese WordNet,2015,\cite{lee2015linguistic},https://bond-lab.github.io/cow,https://lod-cloud.net/dataset/omwn-cow,Lexicons and Dictionaries,,,https://github.com/bond-lab/cow,OK,CC BY 4.0,,Mandarin Chinese,1,0,0.000,0
CogNet2,2023,\cite{wang2023cognet2},http://cognet.top,,"Terminology, Thesauri, Knowledge Base",,,RDF,,CC-BY-SA 4.0,,Multilingual,,,,
Colloquial WordNet,2017,\cite{mccrae2017colloquial},https://colloqwn.linguistic-lod.org,As part of WordNet,Lexicons and Dictionaries,,,,,CC-BY 4.0,,English,2,1,0.001,0
Coptic SCRIPTORIUM,2016,\cite{almas2016applying},"https://copticscriptorium.org, https://github.com/CopticScriptorium",,Corpora,-,,"https://github.com/CopticScriptorium/corpora relANNIS, PAULA XML, TEI XML and TreeTagger SGML (*.tt)",OK,CC BY 3.0/4.0,,Coptic,,,,
CroWordNet,2019,\cite{orevskovic2019croatian},http://meta-share.ffzg.hr/repository/browse/croatian-wordnet,https://lod-cloud.net/dataset/omwn-hrv,Lexicons and Dictionaries,http://omwn.linguistic-lod.org/sparql/,OFFLINE,http://compling.hss.ntu.edu.sg/omw/wns/hrv+xml.zip,FAIL,CC-BY 3.0,,Croatian,1,0,0.000,0
DBnary,2015,\cite{serasset2015dbnary},https://kaiko.getalp.org/about-dbnary/,https://lod-cloud.net/dataset/dbnary,"Terminology, Thesauri, Knowledge Base",http://kaiko.getalp.org/sparql,OK,http://kaiko.getalp.org/static/,OK,CC-BY-SA 3.0,1MLD,Multilingual,3,0,0.001,0.33
DBpedia Japanese,2014,\cite{kato2014building},https://ja.dbpedia.org/,,"Terminology, Thesauri, Knowledge Base",https://ja.dbpedia.org/sparql,OK,https://ja.dbpedia.org/dumps/,OK,CC-BY-SA,80Mln,Japanese,14,0.143,0.006,0.33
Der arme vn aue-portal RDF,2017,\cite{stolz2017linked},http://www.ebusiness-unibw.org/ontologies/hva/ah.html,,Corpora,-,-,".rdf	application/rdf+xml
.n3	text/n3
.nt	text/plain",OK,-,,German,,,,
EcoLexicon,2019,\cite{leon2019ecolexicon},http://ecolexicon.ugr.es,,"Terminology, Thesauri, Knowledge Base",-,-,-,-,CC-BY,"4,471 concepts and 23,528 terms","Multiligual (English, Spanish, German, French,
Russian, and Modern Greek)",,,,
EUROSENTIMENT,2014,\cite{sanchez2014eurosentiment},https://eurosentiment.readthedocs.io/en/master,https://lod-cloud.net/dataset/eurosentiment,Other,,,,,,,Multilingual,1,0,0.000,0
FrameBase Schema,2015,\cite{rouces2015framebase},http://www.framebase.org,https://lod-cloud.net/dataset/framebase-schema,Other,-,-,https://www.framebase.org/data,OFFLINE,CC-BY,500K,,2,1,0.001,0
FrameNet - FSI,2015,\cite{hauck2015supporting},https://framenet.icsi.berkeley.edu/node/5039,,Other,,,https://framenet.icsi.berkeley.edu/node/5574,OFFLINE,,,,,,,
Framester,2016,\cite{gangemi2016framester},https://w3id.org/framester,https://lod-cloud.net/dataset/framester,"Terminology, Thesauri, Knowledge Base",https://w3id.org/framester/sparql,OK,https://figshare.com/articles/dataset/Framester/4994537?file=8447048 ttl,OK,CC-BY 4.0,32Mln,English,2,1,0.001,0.33
GeoWordNet,2016,\cite{frontini2016geodomainwordnet},https://old.datahub.io/dataset/geowordnet,https://lod-cloud.net/dataset/geowordnet,"Terminology, Thesauri, Knowledge Base",,,https://old.datahub.io/dataset/geowordnet/resource/6e76558d-ca56-4739-b0e4-b85ee2a702ef as CSV,OK,CC-BY,54Mln,English and Italian,2,0,0.001,0
Germanic parallel Bible corpus,2014,\cite{ChiarcosSukharevaMittmannetal2014},,,Corpora,,,,,,,German,,,,
Glottolog,2022,\cite{forkel2022glottocodes},https://glottolog.org/,https://lod-cloud.net/dataset/glottolog,Linguistic Data Categories,-,-,https://glottolog.org/static/download/glottolog-language.n3.gz,OFFLINE,CC-BY-SA,10Mln,,2,1,0.001,0
Harmonized German resources,2022,\cite{chiarcos2022unifying},https://github.com/acoli-repo/acoli-morph,,Linguistic Data Categories,-,-,HDT files,OK,-,,German/Multilingual,,,,
Harmonized German resources - 2,2014,\cite{declerck2014harmonization},https://www.dfki.de/en/web/research/research-departments/language-technology/,,Lexicons and Dictionary,,,,,,,German/Multilingual,,,,
IEKG - Commonsense Knowledge Graph for Idiomatic Expressions,2023,\cite{zeng2023iekg},https://github.com/zzeng13/IEKG/tree/master,,"Terminology, Thesauri, Knowledge Base",-,-,https://github.com/zzeng13/IEKG/tree/master/iekg_data as jsonl,OK,MIT license,56K,,,,,
IndoWordNet OWL,2016,\cite{nagvenkar2016indowordnet},http://nlp.unigoa.ac.in/indonet/owl,,Lexicons and Dictionaries,-,-,OWL,NO,,,Indian,,,,
JeuxDeMots - JdM,2017,\cite{tchechmedjiev2017ontolex},https://www.jeuxdemots.org,,Linguistic Data Categories,-,-,-,-,-,-,French,,,,
KurdishLex,2019,\cite{ahmadi2019towards},https://github.com/KurdishBLARK/KurdishLex,,Lexicons and Dictionaries,-,-,ttl,OK,CC-BY-NC-SA 4.0,,"Hawrami.ttl
Kurmanji.ttl
Sorani.ttl",,,,
Language change database,2018,\cite{kesaniemi2018open},https://lcd.helsinki.fi,,Linguistic Data Category,-,-,-,-,-,-,English,,,,
Latin WordNet Revision in LiLa,2019,\cite{racioppa2019porting},https://lila-erc.eu/data/lexicalResources/LatinWordNet/Lexicon,https://lod-cloud.net/dataset/LatinWordnetLiLa,Lexicons and Dictionaries,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,OFFLINE,https://github.com/CIRCSE/latinWordnet-revision ttl,OK,CC-BY-SA 4.0,467K,Latin,2,1,0.001,0
Legal Knowledge Graph,2019,\cite{martin2019language},http://data.lynx-project.eu/,,Other,,,,,,,,,,,
lemon tree,2019,\cite{stolk2019lemon},https://ssstolk.github.io/onto/lemon-tree/,,Other,,,https://github.com/ssstolk/ssstolk.github.io/blob/master/onto/lemon-tree/lemon-tree.ttl,OK,-,,,,,,
lemonETY,2018,\cite{khan2018towards},https://github.com/anasfkhan81/lemonEty,,Linguistic Data Categories,-,-,ttl,OK,-,,,,,,
LemonUby,2015,\cite{eckle2015lemonuby},,https://lod-cloud.net/dataset/lemonuby,Other,-,-,http://lemon-model.net/lexica/uby,OK,CC-BY-SA,33Mln,"English, German",9,0.167,0.004,0
Lexicon der indogermanischen Verben (LIV),2023,\cite{boano2023modelling},https://github.com/CIRCSE/LIV/tree/main,https://lod-cloud.net/dataset/LemmaBank,"Terminology, Thesauri, Knowledge Base",https://lila-erc.eu/sparql,OK,TTL e OWL,OK,CC BY SA,14K,Latin,21,0.010,0.008,0
